Category,Average
2022,2.67
2022,3.37
2022,3.45
2022,3.72
2022,3.89
2023,4.03
2023,4.15
2023,4.27
2023,4.33
2023,4.54
2023,4.38
2023,4.95
2023,4.23
2023,3.98
2023,4.44
2023,4.7
2023,4.81
2024,4.84
2024,5.14
